# CSV-Datei erstellt auf csv-zusammenfuehren.de,,,,,,,
# -----------------------------------------------------------,,,,,,,
,,,,,,,
PartipantID,TrialIndex,ChartName,Color,DataPointIndex,TrueValue,RecalledValue,Error
p2017-11-19.19-36-5,2,ScatterPlot,none,1,3.1407392,3.2,-2.4401786
p2017-11-19.19-36-5,2,ScatterPlot,none,2,3.9270682,3.8,-1.9881134
p2017-11-19.19-36-5,2,ScatterPlot,none,3,4.6111116,4.3,-1.1972313
p2017-11-19.19-36-5,2,ScatterPlot,none,4,4.6674304,4.5,-1.7738347
p2017-11-19.19-46-55,0,ScatterPlot,none,0,2.5654972,2.5,-2.3921585
p2017-11-19.19-46-55,0,ScatterPlot,none,1,3.6476185,3.5,-1.8750445
p2017-11-19.19-46-55,0,ScatterPlot,none,2,4.3551207,4.1,-1.3954703
p2017-11-19.19-46-55,0,ScatterPlot,none,3,4.5757723,4.2,-0.9977728
p2017-11-19.19-46-55,0,ScatterPlot,none,4,4.6282253,4.3,-1.1417001
p2017-11-19.20-27-28,2,ScatterPlot,none,0,2.6809194,2.8,-2.0345707
p2017-11-19.20-27-28,2,ScatterPlot,none,1,3.8103569,3.5,-1.1997297
p2017-11-19.20-27-28,2,ScatterPlot,none,2,4.4209614,4.5,-2.2930858
p2017-11-19.20-27-28,2,ScatterPlot,none,3,4.6008415,4.6,-2.990319
p2017-11-19.20-27-28,2,ScatterPlot,none,4,4.668544,4.75,-2.2760925
p2017-11-19.21-48-13,2,ScatterPlot,none,0,1.3163822,1,-1.1798997
p2017-11-19.21-48-13,2,ScatterPlot,none,1,4.0819573,4,-2.2725947
p2017-11-19.21-48-13,2,ScatterPlot,none,2,4.310421,4.1,-1.5759548
p2017-11-19.21-48-13,2,ScatterPlot,none,3,4.462693,4.5,-2.6232047
p2017-11-19.21-48-13,2,ScatterPlot,none,4,4.6027355,4.7,-2.169652
p2017-11-19.21-51-10,1,ScatterPlot,none,0,1.730953,1.8,-2.3655221
p2017-11-19.21-51-10,1,ScatterPlot,none,1,3.7355466,3.8,-2.4000852
p2017-11-19.21-51-10,1,ScatterPlot,none,2,4.328222,4,-1.1417109
p2017-11-19.21-51-10,1,ScatterPlot,none,3,4.4979267,4.1,-0.93531907
p2017-11-19.21-51-10,1,ScatterPlot,none,4,4.597972,4.2,-0.9351941
p2017-11-19.22-21-20,2,ScatterPlot,none,0,1.7586043,1.8,-2.5873103
p2017-11-19.22-21-20,2,ScatterPlot,none,1,4.3256426,4.3,-2.7308002
p2017-11-19.22-21-20,2,ScatterPlot,none,2,4.622643,4.5,-2.0136662
p2017-11-19.22-21-20,2,ScatterPlot,none,3,4.660571,4.51,-1.8595046
p2017-11-19.22-21-20,2,ScatterPlot,none,4,4.6911335,4.52,-1.7556802
p2017-11-18.20-13-2,2,RadarChart,none,0,13.88612,18,2.0836833
p2017-11-18.20-13-2,2,RadarChart,none,1,17.826351,15,1.5613756
p2017-11-18.20-13-2,2,RadarChart,none,2,11.4704895,12,-0.61151177
p2017-11-18.20-13-2,2,RadarChart,none,3,11.784191,12,-1.5529652
p2017-11-18.20-13-2,2,RadarChart,none,4,15.600721,16,-0.9315943
p2017-11-18.20-23-11,0,RadarChart,none,0,9.244002,9,-1.4382981
p2017-11-18.20-23-11,0,RadarChart,none,1,5.8880434,5,0.018695986
p2017-11-18.20-23-11,0,RadarChart,none,2,13.219342,14,-0.1429621
p2017-11-18.20-23-11,0,RadarChart,none,3,11.770129,0,3.572299
p2017-11-18.20-23-11,0,RadarChart,none,4,16.616697,0,4.065374
p2017-11-18.20-26-7,2,RadarChart,none,0,9.3140335,10,-0.3022858
p2017-11-18.20-26-7,2,RadarChart,none,1,6.66479,7,-1.1196362
p2017-11-18.20-26-7,2,RadarChart,none,2,8.799609,9,-1.6197547
p2017-11-18.20-26-7,2,RadarChart,none,3,6.4769487,7,-0.62582016
p2017-11-18.20-26-7,2,RadarChart,none,4,6.981037,7,-2.7962313
p2017-11-18.20-6-58,1,RadarChart,none,0,6.3769016,3,1.8081386
p2017-11-18.20-6-58,1,RadarChart,none,1,6.9770546,4,1.6332241
p2017-11-18.20-6-58,1,RadarChart,none,2,8.631128,6,1.4626431
p2017-11-18.20-6-58,1,RadarChart,none,3,12.261583,12,-1.3711487
p2017-11-18.20-6-58,1,RadarChart,none,4,6.8966107,5,1.0155053
p2017-11-18.21-15-54,2,RadarChart,none,0,7.0915604,8,0.047454126
p2017-11-18.21-15-54,2,RadarChart,none,1,9.362446,9,-1.0366862
